237,650309,6625793,634,ek,3.1,1,,40,1,2,blåbär,5,ko,1,
,,,,,,,,,,,kvastmossa,30,,,
,,,,,,,,,,,husmossa,10,,,
,,,,,,,,,,,väggmossa,10,,,
,,,,,,,,,,,lingon,5,,,
75,650102,6626105,310,,,,,,,4,gräs,45,,0,
,,,,,,,,,,,maskros,10,,,
,,,,,,,,,,,smooth grass,45,,,
74,650067,6626104,310,,,,,,,5,maskros,90,,0,
,,,,,,,,,,,smooth grass,5,,,
,,,,,,,,,,,vitklöver,5,,,
73,650028,6626103,635,,,,,,,1,vitsippa,20,,0,
,,,,,,,,,,,fårsvingel,5,,,
,,,,,,,,,,,vicker,,,,
,,,,,,,,,,,veronika,,,,
,,,,,,,,,,,vårfryle,,,,
72,650003,6626113,635,gran,126,3,,,,0,fårsvingel,,,0,
,,,,,,,,,,,husmossa,5,,,
71,649957,6626106,634,,,,,,,5,fårsvingel,5,,0,
,,,,,,,,,,,blåbär,15,,,
,,,,,,,,,,,lingon,15,,,
,,,,,,,,,,,husmossa,65,,,
86,650031,6626070,310,,,,,,,2,vitklöver,5,,0,
,,,,,,,,,,,maskros,20,,,
,,,,,,,,,,,gräs,5,,,
85,650000,6626072,310,lönn,0.4,1,,,,5,skogsklöver,15,,0,
,,,,ek,1,1,,6,,,vitsippa,10,,,
,,,,lönn,0.8,1,,,,,fyrkantig johannesört,,,,
,,,,ask,1.3,1,,6,,,daggkåpa,20,,,
,,,,lönn,1,1,,,,,kammossa,,,,
,,,,,,,2 askar,,,,veronika,,,,
,,,,ek,1.5,1,,10,,,,,,,
103,650031,6626034,310,,,,,,,8,maskros,40,,0,
,,,,,,,,,,,vitklöver,20,,,
,,,,,,,,,,,gräs,40,,,
104,650067,6626034,310,,,,,,,10,maskros,33,,0,
,,,,,,,,,,,vitklöver,33,,,
,,,,,,,,,,,gräs,33,,,
105,650102,6626035,310,,,,,,,8,maskros,60,,0,
,,,,,,,,,,,gräs,40,,,
126,650068,6626000,310,,,,,,,6,maskros,50,,0,
,,,,,,,,,,,gräs,50,,,
125,650030,6626000,310,,,,,,,6,vitklöver,40,,0,
,,,,,,,,,,,maskros,40,,,
,,,,,,,,,,,gräs,20,,,
59,649925,6626141,635,ek,18,2,,,,4,husmossa,70,,0,
,,,,,,,,,,,fårsvingel,30,,,
60,649960,6626141,635,tall,98,3,,,,4,väggmossa,90,,0,foto
,,,,,,,,,,,vitsippa,5,,,
,,,,,,,,,,,fårsvingel,5,,,
61,649998,6626141,635,björk,51,3,,,,5,husmossa,100,,0,
,,,,gran,4.3,2,,,,,vårfryle,,,,
,,,,björk,1.5,1,,,,,fårsvingel,,,,
,,,,björk,0.6,1,,,,,,,,,
,,,,björk,0.7,1,,,,,,,,,
,,,,rönn,0.5,1,,,,,,,,,
62,650031,6626140,635,rönn,12,2,,,,0,stensöta,80,,0,"stenröse, foto"
,,,,ek,44,3,,,,,fårsvingel,5,,,
,,,,ek,23,2,,,,,,,,,
63,utanför,,,,,,,,,,,,,,
64,utanför,,,,,,,,,,,,,,
88,650103,6626069,310,,,,,,,7,maskros,10,,0,
,,,,,,,,,,,väggmossa,5,,,
,,,,,,,,,,,rajgräs,,,,
,,,,,,,,,,,gräs,75,,,
87,650066,6626069,310,,,,,,,7,maskros,90,,0,
,,,,,,,,,,,gräs,5,,,
,,,,,,,,,,,veronika,5,,,
52,650136,6626177,635,gran,1.3,1,,,,2,vitsippa,50,,0,
,,,,,,,,,,,blåbär,10,,,
